<NODES>

<PATH>
-30 100
000 100
500 100
500 300
300 200
100 200
100 500
200 450
600 450
600 100
700 100
700 650
</PATH>

<EDGEA>
000 080
520 080
520 320
500 320
300 220
120 220
120 470
200 430
580 430
580 080
720 080
720 600
</EDGEA>

<EDGEB>
000 120
480 120
480 270
300 180
080 180
080 520
100 520
200 470
620 470
620 120
680 120
680 600
</EDGEB>

</NODES>

<WAVES>
EnemyID	Amount	Frequency(ticks)	Delay(ticks)

0		10		60					0
END

0		20		45					0
END

1		2		90					0
0		20		60					60
END

2		100		20					0
1 		5 		120 				0
END

3 		1 		1 					0
END

</WAVES>
